instance,#jobs,#machines,increment,#Varibles,final time point,Weighted Completion Time,Total Deviation,Weighted Total Tardiness,Objective Value,Gap,Cpu Time
0,20,6,1,11466,181,8849.000000,0.000000,15384.000000,162689.000000,0.000018,59.344052
0,20,6,2,5733,181,8846.000000,0.000000,15384.000000,162686.000000,0.000000,9.793763
0,20,6,5,2331,181,8882.000000,0.000000,24657.000000,255452.000000,0.000000,1.338928
1,20,6,1,8160,135,5152.000000,0.000000,561.000000,10762.000000,0.000000,48.067952
1,20,6,2,4080,135,5165.000000,0.000000,561.000000,10775.000000,0.000000,4.171162
1,20,6,5,1680,135,4986.000000,0.000000,629.000000,11276.000000,0.000000,0.510799
2,20,6,1,8816,151,6437.000000,0.000000,6779.000000,74227.000000,0.000000,24.056062
2,20,6,2,4408,151,6457.000000,0.000000,6779.000000,74247.000000,0.000000,7.368650
2,20,6,5,1798,151,6898.000000,0.000000,14540.000000,152298.000000,0.000000,0.483720
0,30,6,1,23994,257,18311.000000,0.000000,18272.000000,201031.000000,0.425803,600.027610
0,30,6,2,11997,257,18100.000000,0.000000,12704.000000,145140.000000,0.000075,228.656789
0,30,6,5,4836,257,18243.000000,0.000000,13301.000000,151253.000000,0.000090,8.587698
1,30,6,1,19716,211,10702.000000,0.000000,3891.000000,49612.000000,0.148593,600.008390
1,30,6,2,9858,211,10754.000000,0.000000,4455.000000,55304.000000,0.000000,88.802617
1,30,6,5,3999,211,11179.000000,0.000000,4187.000000,53049.000000,0.000000,7.559161
2,30,6,1,18860,204,13026.000000,0.000000,900.000000,22026.000000,0.381560,600.017467
2,30,6,2,9476,204,13309.000000,0.000000,130.000000,14609.000000,0.000000,74.468862
2,30,6,5,3772,204,13842.000000,0.000000,6298.000000,76822.000000,0.000000,1.589061
0,40,6,1,38357,316,32971.000000,0.000000,479434.000000,4827311.000000,0.994659,600.026340
0,40,6,2,19239,316,28594.000000,0.000000,8016.000000,108754.000000,0.596485,600.022885
0,40,6,5,7744,316,27067.000000,0.000000,11961.000000,146677.000000,0.000000,111.956356
1,40,6,1,36722,300,18659.000000,0.000000,574.000000,24399.000000,0.275141,600.040384
1,40,6,2,18422,300,18717.000000,0.000000,574.000000,24457.000000,0.003449,600.015585
1,40,6,5,7442,300,19124.000000,0.000000,1358.000000,32704.000000,0.000000,40.783954
2,40,6,1,33394,282,21336.000000,0.000000,784.000000,29176.000000,0.346443,600.032424
2,40,6,2,16756,282,21254.000000,0.000000,784.000000,29094.000000,0.000050,448.707197
2,40,6,5,6726,282,23023.000000,0.000000,17045.000000,193473.000000,0.000000,27.176146
0,50,6,1,67050,446,35101.000000,0.000000,0.000000,35101.000000,0.081345,600.051397
0,50,6,2,33600,446,34563.000000,0.000000,0.000000,34563.000000,0.037557,600.020414
0,50,6,5,13500,446,34508.000000,0.000000,225.000000,36758.000000,0.019134,600.017521
1,50,6,1,56826,368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,50,6,2,28490,368,27884.000000,0.000000,2171.000000,49594.000000,0.182384,600.011234
1,50,6,5,11396,368,28115.000000,0.000000,3730.000000,65415.000000,0.000000,262.353662
2,50,6,1,64480,415,54066.000000,0.000000,2365268.000000,23706746.000000,0.999573,600.011856
2,50,6,2,32240,415,29318.000000,0.000000,0.000000,29318.000000,0.165741,600.025229
2,50,6,5,13020,415,30636.000000,0.000000,569.000000,36326.000000,0.021357,600.012639
