
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 14:46:49 2023

Set parameter LogFile to value "Java/output/pure_mip_2_machine/scenario_seed_4_nJob_40_machineCount_2/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 558 rows, 7140 columns and 29142 nonzeros
Model fingerprint: 0xdbb5dcf4
Variable types: 0 continuous, 7140 integer (7140 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e+00, 2e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 12 rows and 1065 columns
Presolve time: 0.04s
Presolved: 546 rows, 6075 columns, 24921 nonzeros
Variable types: 0 continuous, 6075 integer (6075 binary)

Root relaxation: objective 1.103122e+04, 3328 iterations, 0.10 seconds (0.16 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    54330.000000 15203.6039  72.0%     -    4s
H    0     0                    54250.000000 15203.6039  72.0%     -    4s
     0     0 15206.3778    0  422 54250.0000 15206.3778  72.0%     -    4s
     0     0 15257.2708    0  438 54250.0000 15257.2708  71.9%     -    4s
     0     0 15259.4061    0  456 54250.0000 15259.4061  71.9%     -    4s
     0     0 15284.7196    0  465 54250.0000 15284.7196  71.8%     -    5s
     0     0 15284.7196    0  460 54250.0000 15284.7196  71.8%     -    5s
H    0     0                    25449.000000 15284.7196  39.9%     -    5s
H    0     0                    16082.000000 15286.1924  4.95%     -    5s
     0     0 15286.1924    0  242 16082.0000 15286.1924  4.95%     -    5s
H    0     0                    16072.000000 15286.1924  4.89%     -    5s
H    0     0                    16062.000000 15286.1924  4.83%     -    5s
     0     0 15286.1924    0  351 16062.0000 15286.1924  4.83%     -    5s
H    0     0                    16052.000000 15286.1924  4.77%     -    5s
H    0     0                    15957.000000 15286.1924  4.20%     -    5s
     0     0 15286.1924    0  395 15957.0000 15286.1924  4.20%     -    5s
     0     0 15286.1924    0  393 15957.0000 15286.1924  4.20%     -    5s
     0     0 15286.4595    0  404 15957.0000 15286.4595  4.20%     -    5s
     0     0 15289.1899    0  391 15957.0000 15289.1899  4.19%     -    5s
     0     0 15289.3482    0  377 15957.0000 15289.3482  4.18%     -    5s
     0     0 15289.3652    0  377 15957.0000 15289.3652  4.18%     -    5s
     0     0 15306.7357    0  406 15957.0000 15306.7357  4.08%     -    6s
     0     0 15309.8434    0  397 15957.0000 15309.8434  4.06%     -    6s
     0     0 15310.0840    0  418 15957.0000 15310.0840  4.05%     -    6s
H    0     0                    15947.000000 15310.0840  3.99%     -    6s
H    0     0                    15871.000000 15310.0840  3.53%     -    6s
     0     0 15316.3729    0  418 15871.0000 15316.3729  3.49%     -    6s
H    0     0                    15866.000000 15316.3729  3.46%     -    6s
     0     0 15317.2586    0  416 15866.0000 15317.2586  3.46%     -    6s
     0     0 15317.4637    0  420 15866.0000 15317.4637  3.46%     -    6s
     0     0 15323.9192    0  436 15866.0000 15323.9192  3.42%     -    6s
     0     0 15324.1774    0  436 15866.0000 15324.1774  3.41%     -    6s
     0     0 15325.1311    0  433 15866.0000 15325.1311  3.41%     -    6s
     0     0 15325.1311    0  427 15866.0000 15325.1311  3.41%     -    6s
     0     0 15327.1353    0  247 15866.0000 15327.1353  3.40%     -    6s
     0     0 15327.1353    0  346 15866.0000 15327.1353  3.40%     -    6s
     0     0 15327.1353    0  326 15866.0000 15327.1353  3.40%     -    6s
     0     0 15327.1353    0  350 15866.0000 15327.1353  3.40%     -    6s
