
Gurobi 9.5.2 (mac64[arm]) logging started Sun Apr 30 16:14:57 2023

Set parameter LogFile to value "Java/output/special_mip/scenario_seed_0_nJob_40_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 718 rows, 10406 columns and 45325 nonzeros
Model fingerprint: 0x805af7f8
Variable types: 0 continuous, 10406 integer (10406 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+02]
  Objective range  [1e+00, 9e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 3.215979e+07
Presolve added 9 rows and 0 columns
Presolve removed 0 rows and 722 columns
Presolve time: 0.05s
Presolved: 727 rows, 9684 columns, 40320 nonzeros
Variable types: 0 continuous, 9684 integer (9660 binary)
Found heuristic solution: objective 2.925997e+07

Root relaxation: objective 2.329239e+04, 4567 iterations, 0.16 seconds (0.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    25436.000000 23507.0890  7.58%     -    4s
     0     0 23507.0890    0  625 25436.0000 23507.0890  7.58%     -    4s
     0     0 23507.4448    0  627 25436.0000 23507.4448  7.58%     -    4s
     0     0 23507.4720    0  641 25436.0000 23507.4720  7.58%     -    4s
     0     0 23509.8906    0  604 25436.0000 23509.8906  7.57%     -    5s
     0     0 23509.8906    0  210 25436.0000 23509.8906  7.57%     -    5s
     0     0 23509.8906    0  400 25436.0000 23509.8906  7.57%     -    5s
H    0     0                    25411.000000 23509.8906  7.48%     -    5s
     0     0 23509.8906    0  502 25411.0000 23509.8906  7.48%     -    5s
     0     0 23509.8906    0  516 25411.0000 23509.8906  7.48%     -    6s
H    0     0                    25371.000000 23509.8906  7.34%     -    6s
     0     0 23509.8906    0  499 25371.0000 23509.8906  7.34%     -    6s
     0     0 23509.8906    0  545 25371.0000 23509.8906  7.34%     -    6s
     0     0 23509.8906    0  588 25371.0000 23509.8906  7.34%     -    6s
     0     0 23509.8906    0  611 25371.0000 23509.8906  7.34%     -    6s
     0     0 23509.9863    0  594 25371.0000 23509.9863  7.34%     -    6s
     0     0 23510.1737    0  600 25371.0000 23510.1737  7.33%     -    6s
     0     0 23510.1801    0  601 25371.0000 23510.1801  7.33%     -    6s
     0     0 23521.1571    0  598 25371.0000 23521.1571  7.29%     -    6s
     0     0 23524.4550    0  605 25371.0000 23524.4550  7.28%     -    6s
     0     0 23525.6882    0  615 25371.0000 23525.6882  7.27%     -    6s
     0     0 23525.8025    0  619 25371.0000 23525.8025  7.27%     -    7s
     0     0 23533.3115    0  645 25371.0000 23533.3115  7.24%     -    7s
     0     0 23534.2056    0  639 25371.0000 23534.2056  7.24%     -    7s
H    0     0                    25366.000000 23534.2056  7.22%     -    7s
     0     0 23534.9887    0  666 25366.0000 23534.9887  7.22%     -    7s
     0     0 23535.1232    0  657 25366.0000 23535.1232  7.22%     -    7s
     0     0 23539.5569    0  649 25366.0000 23539.5569  7.20%     -    7s
     0     0 23540.9025    0  669 25366.0000 23540.9025  7.20%     -    7s
     0     0 23541.3560    0  671 25366.0000 23541.3560  7.19%     -    7s
     0     0 23541.9723    0  701 25366.0000 23541.9723  7.19%     -    7s
     0     0 23542.0538    0  698 25366.0000 23542.0538  7.19%     -    7s
     0     0 23547.8501    0  611 25366.0000 23547.8501  7.17%     -    8s
     0     0 23549.9445    0  683 25366.0000 23549.9445  7.16%     -    8s
     0     0 23550.4982    0  665 25366.0000 23550.4982  7.16%     -    8s
     0     0 23550.9585    0  638 25366.0000 23550.9585  7.16%     -    8s
     0     0 23553.3052    0  696 25366.0000 23553.3052  7.15%     -    8s
     0     0 23554.5040    0  693 25366.0000 23554.5040  7.14%     -    8s
