
Gurobi 9.5.2 (mac64[arm]) logging started Wed Apr 19 14:19:28 2023

Set parameter LogFile to value "Java/output/pure_mip/scenario_seed_0_nJob_50_machineCount_1/mip_increment_5/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 790 rows, 13500 columns and 58631 nonzeros
Model fingerprint: 0x50de08f6
Variable types: 0 continuous, 13500 integer (13500 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+02]
  Objective range  [1e+00, 2e+07]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1.460934e+08
Presolve added 20 rows and 0 columns
Presolve removed 0 rows and 760 columns
Presolve time: 0.06s
Presolved: 810 rows, 12740 columns, 52991 nonzeros
Variable types: 0 continuous, 12740 integer (12712 binary)
Found heuristic solution: objective 1.067672e+08

Root relaxation: objective 3.171071e+04, 8532 iterations, 0.41 seconds (0.78 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H    0     0                    3732173.0000 31838.7103  99.1%     -    6s
H    0     0                    3732128.0000 31838.7103  99.1%     -    6s
     0     0 31839.6908    0  758 3732128.00 31839.6908  99.1%     -    6s
     0     0 31839.7917    0  761 3732128.00 31839.7917  99.1%     -    6s
     0     0 31841.4556    0  775 3732128.00 31841.4556  99.1%     -    7s
H    0     0                    1699718.0000 31842.7381  98.1%     -    7s
     0     0 31842.7381    0  776 1699718.00 31842.7381  98.1%     -    7s
     0     0 31842.8090    0  770 1699718.00 31842.8090  98.1%     -    7s
H    0     0                    1699293.0000 31847.3477  98.1%     -    7s
     0     0 31847.3477    0  760 1699293.00 31847.3477  98.1%     -    7s
     0     0 31847.8668    0  769 1699293.00 31847.8668  98.1%     -    7s
     0     0 31847.9703    0  791 1699293.00 31847.9703  98.1%     -    7s
     0     0 31852.5579    0  774 1699293.00 31852.5579  98.1%     -    7s
H    0     0                    984423.00000 31852.5579  96.8%     -    7s
     0     0 31854.0075    0  792 984423.000 31854.0075  96.8%     -    7s
     0     0 31854.4092    0  804 984423.000 31854.4092  96.8%     -    8s
     0     0 31854.5133    0  795 984423.000 31854.5133  96.8%     -    8s
     0     0 31858.0828    0  806 984423.000 31858.0828  96.8%     -    8s
     0     0 31859.1980    0  810 984423.000 31859.1980  96.8%     -    8s
     0     0 31859.3320    0  809 984423.000 31859.3320  96.8%     -    8s
     0     0 31862.3035    0  836 984423.000 31862.3035  96.8%     -    8s
     0     0 31863.7085    0  817 984423.000 31863.7085  96.8%     -    8s
     0     0 31864.3856    0  818 984423.000 31864.3856  96.8%     -    8s
     0     0 31864.4916    0  836 984423.000 31864.4916  96.8%     -    9s
     0     0 31865.8372    0  821 984423.000 31865.8372  96.8%     -    9s
     0     0 31867.2797    0  823 984423.000 31867.2797  96.8%     -    9s
     0     0 31867.7523    0  828 984423.000 31867.7523  96.8%     -    9s
     0     0 31867.9450    0  837 984423.000 31867.9450  96.8%     -    9s
     0     0 31881.1028    0  811 984423.000 31881.1028  96.8%     -    9s
H    0     0                    982963.00000 31881.1028  96.8%     -    9s
     0     0 31883.2975    0  824 982963.000 31883.2975  96.8%     -    9s
     0     0 31884.0049    0  839 982963.000 31884.0049  96.8%     -    9s
     0     0 31884.4676    0  841 982963.000 31884.4676  96.8%     -   10s
     0     0 31884.6336    0  847 982963.000 31884.6336  96.8%     -   10s
     0     0 31888.0053    0  818 982963.000 31888.0053  96.8%     -   10s
H    0     0                    982943.00000 31888.0053  96.8%     -   10s
     0     0 31891.4198    0  851 982943.000 31891.4198  96.8%     -   11s
     0     0 31891.8189    0  833 982943.000 31891.8189  96.8%     -   11s
     0     0 31891.9281    0  832 982943.000 31891.9281  96.8%     -   11s
     0     0 31898.7452    0  818 982943.000 31898.7452  96.8%     -   11s
     0     0 31901.7448    0  829 982943.000 31901.7448  96.8%     -   11s
     0     0 31902.9176    0  856 982943.000 31902.9176  96.8%     -   12s
     0     0 31903.0726    0  835 982943.000 31903.0726  96.8%     -   12s
H    0     0                    752263.00000 31906.2865  95.8%     -   12s
     0     0 31906.2865    0  820 752263.000 31906.2865  95.8%     -   12s
     0     0 31907.6144    0  831 752263.000 31907.6144  95.8%     -   12s
     0     0 31907.7982    0  814 752263.000 31907.7982  95.8%     -   12s
H    0     0                    752233.00000 31909.0619  95.8%     -   12s
     0     0 31909.0619    0  828 752233.000 31909.0619  95.8%     -   12s
     0     0 31909.0619    0  811 752233.000 31909.0619  95.8%     -   13s
     0     0 31909.3838    0  256 752233.000 31909.3838  95.8%     -   15s
     0     0 31909.3838    0  433 752233.000 31909.3838  95.8%     -   15s
H    0     0                    752218.00000 31909.3838  95.8%     -   15s
     0     0 31909.3838    0  530 752218.000 31909.3838  95.8%     -   15s
     0     0 31909.3838    0  664 752218.000 31909.3838  95.8%     -   16s
H    0     0                    752188.00000 31909.3838  95.8%     -   16s
     0     0 31909.3838    0  691 752188.000 31909.3838  95.8%     -   16s
     0     0 31909.3838    0  705 752188.000 31909.3838  95.8%     -   16s
     0     0 31909.3838    0  747 752188.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  769 752188.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  776 752188.000 31909.3838  95.8%     -   17s
H    0     0                    752178.00000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  800 752178.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  796 752178.000 31909.3838  95.8%     -   17s
H    0     0                    752158.00000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  803 752158.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  804 752158.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  810 752158.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  807 752158.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  802 752158.000 31909.3838  95.8%     -   17s
     0     0 31909.3838    0  807 752158.000 31909.3838  95.8%     -   17s
     0     0 31921.7905    0  832 752158.000 31921.7905  95.8%     -   17s
H    0     0                    113633.00000 31921.7905  71.9%     -   17s
     0     0 31924.4195    0  836 113633.000 31924.4195  71.9%     -   17s
H    0     0                    60758.000000 31924.4195  47.5%     -   18s
     0     0 31924.6953    0  837 60758.0000 31924.6953  47.5%     -   18s
H    0     0                    60593.000000 31924.6953  47.3%     -   18s
H    0     0                    57193.000000 31924.6953  44.2%     -   18s
     0     0 31931.5405    0  820 57193.0000 31931.5405  44.2%     -   18s
H    0     0                    48008.000000 31931.5405  33.5%     -   19s
H    0     0                    47123.000000 31931.5405  32.2%     -   19s
H    0     0                    47108.000000 31931.5405  32.2%     -   19s
H    0     0                    44183.000000 31931.5405  27.7%     -   19s
H    0     0                    44143.000000 31931.5405  27.7%     -   19s
H    0     0                    44063.000000 31931.5405  27.5%     -   19s
     0     0 31933.3066    0  834 44063.0000 31933.3066  27.5%     -   19s
H    0     0                    44043.000000 31933.3066  27.5%     -   19s
H    0     0                    43858.000000 31933.3066  27.2%     -   19s
     0     0 31936.3320    0  817 43858.0000 31936.3320  27.2%     -   19s
     0     0 31936.4914    0  835 43858.0000 31936.4914  27.2%     -   19s
H    0     0                    35128.000000 31936.4914  9.09%     -   20s
H    0     0                    35103.000000 31936.4914  9.02%     -   20s
     0     0 31940.5389    0  819 35103.0000 31940.5389  9.01%     -   20s
H    0     0                    35083.000000 31940.5389  8.96%     -   20s
     0     0 31942.5586    0  830 35083.0000 31942.5586  8.95%     -   20s
H    0     0                    35058.000000 31942.5586  8.89%     -   20s
