
Gurobi 9.5.2 (mac64[arm]) logging started Fri Apr 28 20:58:07 2023

Set parameter LogFile to value "Java/output/iterative_model_2_machine/scenario_seed_4_nJob_50_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1250 rows, 9894 columns and 67994 nonzeros
Model fingerprint: 0xa9eb3057
Variable types: 0 continuous, 9894 integer (9894 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+01, 4e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 2.640622e+07
Presolve removed 78 rows and 1217 columns
Presolve time: 0.09s
Presolved: 1172 rows, 8677 columns, 59612 nonzeros
Variable types: 0 continuous, 8677 integer (8675 binary)
Found heuristic solution: objective 2.428802e+07

Root relaxation: objective 1.042833e+04, 1957 iterations, 0.07 seconds (0.14 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 40256.1048    0  242 86800.0000 40256.1048  53.6%     -    3s
     0     0 40263.4434    0  262 86800.0000 40263.4434  53.6%     -    3s
     0     0 43158.1293    0  227 86800.0000 43158.1293  50.3%     -    3s
     0     0 43565.8897    0  253 86800.0000 43565.8897  49.8%     -    3s
     0     0 43668.7709    0  257 86800.0000 43668.7709  49.7%     -    3s
     0     0 43695.1631    0  251 86800.0000 43695.1631  49.7%     -    3s
     0     0 45887.4097    0  259 86800.0000 45887.4097  47.1%     -    3s
     0     0 46314.5303    0  264 86800.0000 46314.5303  46.6%     -    3s
     0     0 46329.1041    0  284 86800.0000 46329.1041  46.6%     -    3s
     0     0 46591.9476    0  263 86800.0000 46591.9476  46.3%     -    3s
     0     0 46651.2940    0  264 86800.0000 46651.2940  46.3%     -    3s
     0     0 46659.9428    0  268 86800.0000 46659.9428  46.2%     -    3s
     0     0 47628.0413    0  220 86800.0000 47628.0413  45.1%     -    3s
     0     0 47734.0063    0  250 86800.0000 47734.0063  45.0%     -    3s
     0     0 47756.3274    0  237 86800.0000 47756.3274  45.0%     -    3s
     0     0 48715.8863    0  259 86800.0000 48715.8863  43.9%     -    3s
H    0     0                    69552.000000 48715.8863  30.0%     -    3s
     0     0 48761.5973    0  227 69552.0000 48761.5973  29.9%     -    3s
     0     0 48904.0955    0  260 69552.0000 48904.0955  29.7%     -    4s
     0     0 48904.0955    0  256 69552.0000 48904.0955  29.7%     -    4s
H    0     0                    67344.000000 48905.9943  27.4%     -    4s
     0     0 48905.9943    0  115 67344.0000 48905.9943  27.4%     -    4s
     0     0 48905.9943    0  187 67344.0000 48905.9943  27.4%     -    4s
     0     0 48905.9943    0  199 67344.0000 48905.9943  27.4%     -    4s
     0     0 49402.7188    0  218 67344.0000 49402.7188  26.6%     -    4s
     0     0 50776.1214    0  192 67344.0000 50776.1214  24.6%     -    4s
     0     0 50957.6141    0  215 67344.0000 50957.6141  24.3%     -    4s
     0     0 51113.0231    0  229 67344.0000 51113.0231  24.1%     -    4s
     0     0 51117.9328    0  230 67344.0000 51117.9328  24.1%     -    4s
     0     0 51118.7272    0  236 67344.0000 51118.7272  24.1%     -    4s
     0     0 51119.9393    0  227 67344.0000 51119.9393  24.1%     -    4s
     0     0 51120.1765    0  239 67344.0000 51120.1765  24.1%     -    4s
     0     0 51170.5983    0  232 67344.0000 51170.5983  24.0%     -    4s
H    0     0                    57520.000000 51170.5983  11.0%     -    4s
     0     0 51177.1138    0  211 57520.0000 51177.1138  11.0%     -    4s
     0     0 51212.5496    0  208 57520.0000 51212.5496  11.0%     -    4s
H    0     0                    57456.000000 51212.5496  10.9%     -    4s
H    0     0                    54064.000000 51212.5496  5.27%     -    4s
     0     0 51212.8943    0  218 54064.0000 51212.8943  5.27%     -    4s
     0     0 51267.2505    0  235 54064.0000 51267.2505  5.17%     -    4s
     0     0 51267.2505    0  230 54064.0000 51267.2505  5.17%     -    4s
H    0     0                    53872.000000 51295.0553  4.78%     -    4s
H    0     0                    53856.000000 51295.0553  4.76%     -    4s
