
Gurobi 9.5.2 (mac64[arm]) logging started Mon May  1 17:27:03 2023

Set parameter LogFile to value "Java/output/special_mip/scenario_seed_1_nJob_40_machineCount_2/mip_increment_2/log.txt"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (mac64[arm])
Thread count: 8 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 1452 rows, 25376 columns and 179165 nonzeros
Model fingerprint: 0x5e3703a4
Variable types: 0 continuous, 25376 integer (25376 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [2e+00, 5e+06]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Presolve removed 49 rows and 2659 columns
Presolve time: 0.17s
Presolved: 1403 rows, 22717 columns, 159463 nonzeros
Variable types: 0 continuous, 22717 integer (22709 binary)

Root relaxation: objective 1.284139e+04, 10488 iterations, 1.03 seconds (2.49 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 13817.1024    0  559 58911.0000 13817.1024  76.5%     -   40s
H    0     0                    58874.000000 13817.1024  76.5%     -   41s
     0     0 13817.1024    0  597 58874.0000 13817.1024  76.5%     -   41s
     0     0 13817.1024    0  696 58874.0000 13817.1024  76.5%     -   42s
     0     0 13817.1024    0  742 58874.0000 13817.1024  76.5%     -   43s
     0     0 13817.1024    0  769 58874.0000 13817.1024  76.5%     -   44s
     0     0 13817.1024    0  786 58874.0000 13817.1024  76.5%     -   44s
     0     0 13817.4417    0  819 58874.0000 13817.4417  76.5%     -   44s
     0     0 13817.5909    0  806 58874.0000 13817.5909  76.5%     -   44s
     0     0 13817.5999    0  810 58874.0000 13817.5999  76.5%     -   44s
     0     0 13824.3962    0  841 58874.0000 13824.3962  76.5%     -   45s
H    0     0                    58870.000000 13824.3962  76.5%     -   45s
     0     0 13824.9566    0  854 58870.0000 13824.9566  76.5%     -   45s
H    0     0                    58778.000000 13824.9566  76.5%     -   46s
     0     0 13833.8941    0  833 58778.0000 13833.8941  76.5%     -   46s
     0     0 13833.8941    0  800 58778.0000 13833.8941  76.5%     -   47s
H    0     0                    58506.000000 13834.1439  76.4%     -   54s
     0     2 13834.1439    0  788 58506.0000 13834.1439  76.4%     -   55s
    15    24 13938.1306    4  777 58506.0000 13840.2562  76.3%  2776   60s
H   31    40                    41321.000000 13844.7543  66.5%  3332   67s
H   37    40                    41002.000000 13844.7543  66.2%  3492   67s
    55    67 14011.5932    6  746 41002.0000 13847.0446  66.2%  3393   72s
H   66    77                    17390.000000 13847.6758  20.4%  3231   74s
    76    88 13955.2773    7  770 17390.0000 13849.1817  20.4%  3216   76s
H   87    96                    17232.000000 13850.3612  19.6%  3166   79s
    95   107 13966.3393    8  780 17232.0000 13852.2343  19.6%  3118   81s
H  106   117                    16468.000000 13852.2343  15.9%  3164   82s
H  110   117                    16448.000000 13852.2343  15.8%  3214   82s
H  111   117                    15748.000000 13852.2343  12.0%  3233   82s
   116   129 13984.4770   10  773 15748.0000 13852.2343  12.0%  3246   85s
H  144   155                    15590.000000 13856.5470  11.1%  3281   89s
H  147   155                    15474.000000 13856.5470  10.5%  3285   89s
H  152   155                    15362.000000 13856.5470  9.80%  3307   89s
   154   168 13997.6228   13  741 15362.0000 13856.5470  9.80%  3308   91s
   180   189 14006.1430   15  754 15362.0000 13857.7983  9.79%  3396   98s
H  181   189                    15296.000000 13857.7983  9.40%  3377   98s
H  183   189                    15288.000000 13857.7983  9.36%  3373   98s
   188   199 14009.8234   16  753 15288.0000 13858.8199  9.35%  3408  102s
   213   234 14041.9517   18  747 15288.0000 13859.0716  9.35%  3535  106s
   253   270 14053.6224   20  759 15288.0000 13859.0716  9.35%  3509  111s
   290   306 14088.5941   22  738 15288.0000 13859.0716  9.35%  3540  117s
   336   341 14098.5724   25  737 15288.0000 13859.0716  9.35%  3558  122s
   351   361 14133.7360   26  737 15288.0000 13859.0716  9.35%  3633  125s
   389   400 14164.0645   28  732 15288.0000 13859.0716  9.35%  3770  134s
   410   424 15091.5810   29  648 15288.0000 13859.0716  9.35%  3874  140s
   436   447 14307.6414   30  722 15288.0000 13859.0716  9.35%  3870  145s
   465   459 14333.3194   33  720 15288.0000 13859.0716  9.35%  3864  150s
H  470   459                    15240.000000 13859.0716  9.06%  3865  150s
   477   487 14333.6803   34  716 15240.0000 13859.0716  9.06%  3856  155s
   516   499 14379.8693   37  690 15240.0000 13859.0716  9.06%  3837  163s
H  526   499                    15236.000000 13859.0716  9.04%  3836  163s
   540   536 14386.3513   38  702 15236.0000 13859.0716  9.04%  3816  166s
   623   606 14586.9129   43  719 15236.0000 13859.0716  9.04%  3747  173s
   672   643 14488.3665   45  670 15236.0000 13859.0716  9.04%  3678  176s
   709   698 14527.7290   49  708 15236.0000 13859.0716  9.04%  3687  180s
   831   795 14591.3959   56  668 15236.0000 13859.0716  9.04%  3532  188s
   889   854 14671.0126   59  704 15236.0000 13859.0716  9.04%  3505  193s
   948   908 14661.9987   62  703 15236.0000 13859.0716  9.04%  3462  197s
  1006   949 14754.3204   66  680 15236.0000 13859.0716  9.04%  3449  217s
  1055  1027 15048.0023   66  658 15236.0000 13859.0716  9.04%  3367  222s
  1133  1098 14797.2498   76  646 15236.0000 13859.0716  9.04%  3298  227s
  1220  1155 14958.0398   87  610 15236.0000 13859.0716  9.04%  3218  232s
  1305  1214 14974.8390   94  635 15236.0000 13859.0716  9.04%  3183  238s
  1364  1271 15040.6421  103  637 15236.0000 13859.0716  9.04%  3211  243s
  1421  1342     cutoff  111      15236.0000 13860.0875  9.03%  3215  249s
  1503  1343 14699.2576   66  834 15236.0000 13860.0875  9.03%  3204  254s
  1505  1344 13982.3454   19  451 15236.0000 13860.0875  9.03%  3199  256s
  1509  1347 14113.8003   23  774 15236.0000 13860.0875  9.03%  3191  261s
  1530  1361 13931.4577    6  848 15236.0000 13891.2450  8.83%  3147  265s
  1548  1373 14851.9032   25  869 15236.0000 13907.6728  8.72%  3111  270s
  1583  1396 14805.2078   81  880 15236.0000 13923.2847  8.62%  3042  275s
  1613  1416 14399.4850   22  851 15236.0000 13926.2552  8.60%  2985  281s
  1616  1421 13928.4473   10  809 15236.0000 13928.4473  8.58%  3046  299s
  1618  1425 13934.8090   11  814 15236.0000 13928.4473  8.58%  3043  317s
  1622  1431 13944.5303   12  845 15236.0000 13934.8090  8.54%  3043  333s
  1630  1437 13952.8473   13  846 15236.0000 13944.5303  8.48%  3061  339s
  1638  1442 14000.7891   13  811 15236.0000 13950.5257  8.44%  3068  342s
  1646  1447 13953.7700   14  824 15236.0000 13953.4974  8.42%  3067  349s
  1654  1453 14339.3635   14  847 15236.0000 13953.8243  8.42%  3079  353s
  1662  1462 13965.7433   15  839 15236.0000 13953.8777  8.42%  3079  357s
  1674  1470 13994.7671   15  837 15236.0000 13964.4041  8.35%  3099  360s
  1686  1474 13973.4347   16  834 15236.0000 13964.4041  8.35%  3100  366s
  1708  1498 13979.7119   17  824 15236.0000 13964.4041  8.35%  3101  372s
H 1734  1428                    15166.000000 13964.4041  7.92%  3103  374s
  1737  1443 13993.7994   19  819 15166.0000 13964.4041  7.92%  3106  377s
  1768  1460 14052.0274   21  746 15166.0000 13964.4041  7.92%  3113  383s
  1780  1474 14018.2046   22  804 15166.0000 13964.4041  7.92%  3114  387s
  1815  1485 14081.1566   23  696 15166.0000 13964.4041  7.92%  3140  397s
  1823  1504 14054.2349   24  772 15166.0000 13964.4041  7.92%  3135  402s
  1846  1515 14054.8452   25  791 15166.0000 13964.4041  7.92%  3144  408s
  1870  1525 14073.8374   26  795 15166.0000 13964.4041  7.92%  3153  412s
  1894  1531 14081.5492   28  793 15166.0000 13964.4041  7.92%  3163  416s
  1908  1554 14115.1964   28  816 15166.0000 13964.4041  7.92%  3170  421s
  1960  1583 14329.1902   32  711 15166.0000 13964.4041  7.92%  3203  430s
  1982  1596 14133.6597   33  773 15166.0000 13964.4041  7.92%  3220  437s
  2003  1617 14154.3470   35  786 15166.0000 13964.4041  7.92%  3228  440s
  2066  1655 14179.3579   39  761 15166.0000 13964.4041  7.92%  3235  449s
  2092  1677 14269.3345   40  781 15166.0000 13964.4041  7.92%  3242  454s
  2132  1695 14226.3456   41  741 15166.0000 13964.4041  7.92%  3251  459s
  2173  1714 14397.4668   44  715 15166.0000 13964.4041  7.92%  3267  464s
  2205  1741 14321.5837   46  770 15166.0000 13964.4041  7.92%  3272  470s
  2243  1757 14745.7748   47  740 15166.0000 13964.4041  7.92%  3285  475s
  2272  1786 14345.2426   49  762 15166.0000 13964.4041  7.92%  3286  481s
  2310  1829 14357.3799   51  789 15166.0000 13964.4041  7.92%  3305  486s
  2368  1854 14362.6113   54  770 15166.0000 13964.4041  7.92%  3291  494s
  2421  1860 14363.5945   56  772 15166.0000 13964.4041  7.92%  3307  503s
  2461  1892 14417.9144   57  774 15166.0000 13964.4041  7.92%  3305  511s
  2520  1907 14391.4603   60  758 15166.0000 13964.4041  7.92%  3311  517s
  2571  1903 14408.2029   63  784 15166.0000 13964.4041  7.92%  3326  525s
  2591  1946 14414.0863   64  761 15166.0000 13964.4041  7.92%  3337  532s
  2660  1976 14422.2062   67  784 15166.0000 13964.4041  7.92%  3338  539s
  2722  2010 14432.3258   70  819 15166.0000 13964.4041  7.92%  3335  546s
  2797  2051 14436.9400   73  811 15166.0000 13964.4041  7.92%  3319  554s
  2887  2098 14474.9534   78  776 15166.0000 13964.4041  7.92%  3312  564s
  2986  2114 14493.8069   81  755 15166.0000 13964.4041  7.92%  3311  579s
  3070  2153 14519.8778   84  747 15166.0000 13964.4041  7.92%  3274  588s
  3147  2182 14554.2942   87  762 15166.0000 13964.4041  7.92%  3288  598s
  3206  2169 14570.7513   88  752 15166.0000 13964.4041  7.92%  3323  600s

Cutting planes:
  Gomory: 1
  Clique: 172
  MIR: 384
  StrongCG: 209
  Flow cover: 123
  GUB cover: 200
  Zero half: 10

Explored 3215 nodes (10866000 simplex iterations) in 600.01 seconds (1958.80 work units)
Thread count was 8 (of 8 available processors)

Solution count 10: 15166 15236 15240 ... 15590

Time limit reached
Best objective 1.516600000000e+04, best bound 1.396500000000e+04, gap 7.9190%
