instance,#jobs,#machines,increment,#Varibles,final time point,Before Tune Weighted Completion Time,Before Tune Total Deviation,Before Tune Weighted Total Tardiness,After Tune Weighted Completion Time,After Tune Total Deviation,After Tune Weighted Total Tardiness,Before Tune Objective Value,After Tune Objective,After Tune Gap,Low Cpu Time,Medium Cpu Time,High Cpu Time,Tune Cpu Time,Low Total Weighted Completion Time,Medium Total Weighted Completion Time,High Total Weighted Completion Time,Low Total Weighted Tardiness,Medium Total Weighted Tardiness,High Total Weighted Tardiness
0,40,12,2,0,175,17332.000000,0.000000,25580.000000,17192.000000,0.000000,25282.000000,273132.000000,270012.000000,0.201637,0.859782,0.272786,19.390270,578.007276,1764.000000,4688.000000,10880.000000,4.000000,1016.000000,24560.000000
1,40,12,1,0,166,12895.000000,0.000000,640.000000,12487.000000,0.000000,624.000000,19295.000000,18727.000000,0.001816,2.133672,6.258974,2.724467,587.012827,1511.000000,3528.000000,7856.000000,16.000000,0.000000,624.000000
1,40,12,2,0,166,12817.000000,0.000000,928.000000,12512.000000,0.000000,624.000000,22097.000000,18752.000000,0.003520,0.554753,0.865296,0.782195,597.019888,1529.000000,3544.000000,7744.000000,64.000000,0.000000,864.000000
2,40,12,1,0,157,15285.000000,0.000000,18707.000000,14518.000000,0.000000,17001.000000,202355.000000,184528.000000,0.000098,0.363397,1.984576,4.275881,304.269702,1717.000000,4240.000000,9328.000000,1975.000000,8028.000000,8704.000000
2,40,12,2,0,157,15286.000000,0.000000,21696.000000,14518.000000,0.000000,17001.000000,232246.000000,184528.000000,0.000098,0.171657,0.878013,2.361921,435.314205,1734.000000,4320.000000,9232.000000,2628.000000,9084.000000,9984.000000
3,40,12,1,0,166,13300.000000,0.000000,818.000000,12646.000000,0.000000,705.000000,21480.000000,19696.000000,0.000000,4.159565,0.609555,2.763644,91.015975,1572.000000,3616.000000,8112.000000,114.000000,0.000000,704.000000
3,40,12,2,0,166,13338.000000,0.000000,916.000000,12646.000000,0.000000,705.000000,22498.000000,19696.000000,0.000000,0.686434,0.530185,0.946998,104.445513,1578.000000,3616.000000,8144.000000,176.000000,36.000000,704.000000
4,40,12,1,0,147,13806.000000,0.000000,5621.000000,13573.000000,0.000000,4127.000000,70016.000000,54843.000000,0.213263,1.475153,4.146240,6.740002,586.017280,1626.000000,4164.000000,8016.000000,669.000000,2008.000000,2944.000000
4,40,12,2,0,147,13862.000000,0.000000,7802.000000,13134.000000,0.000000,6059.000000,91882.000000,73724.000000,0.431325,1.122792,1.839807,2.865405,593.022729,1618.000000,4148.000000,8096.000000,1138.000000,2856.000000,3808.000000
0,50,12,1,0,247,22360.000000,0.000000,464.000000,22107.000000,0.000000,464.000000,27000.000000,26747.000000,0.119303,7.778111,6.247746,53.721651,531.023417,2548.000000,6132.000000,13680.000000,0.000000,0.000000,464.000000
0,50,12,2,0,247,22930.000000,0.000000,1300.000000,22174.000000,0.000000,1252.000000,35930.000000,34694.000000,0.328962,1.808526,2.035971,15.995122,579.021866,2618.000000,6424.000000,13888.000000,0.000000,36.000000,1264.000000
1,50,12,1,0,205,16464.000000,0.000000,1.000000,16355.000000,0.000000,1.000000,16474.000000,16365.000000,0.041552,5.111017,101.438456,111.455711,380.013164,2460.000000,5188.000000,8816.000000,1.000000,0.000000,0.000000
1,50,12,2,0,205,16910.000000,0.000000,4.000000,16678.000000,0.000000,4.000000,16950.000000,16718.000000,0.063165,1.115864,15.606762,11.536105,570.018932,2470.000000,5368.000000,9072.000000,4.000000,0.000000,0.000000
2,50,12,1,0,229,20237.000000,0.000000,3208.000000,18766.000000,0.000000,2242.000000,52317.000000,41186.000000,0.278905,11.957615,27.760711,8.266921,551.033845,2677.000000,6104.000000,11456.000000,668.000000,1868.000000,672.000000
2,50,12,2,0,229,20650.000000,0.000000,5150.000000,19059.000000,0.000000,3076.000000,72150.000000,49819.000000,0.436119,4.696894,11.029788,2.997122,580.013164,2694.000000,6180.000000,11776.000000,1154.000000,2828.000000,1168.000000
3,50,12,1,0,213,17289.000000,0.000000,846.000000,16785.000000,0.000000,800.000000,25749.000000,24785.000000,0.017753,5.515878,5.388757,6.120478,581.014400,2509.000000,5388.000000,9392.000000,794.000000,20.000000,32.000000
3,50,12,2,0,213,17465.000000,0.000000,1111.000000,16993.000000,0.000000,884.000000,28575.000000,25833.000000,0.103898,3.613059,2.469771,3.233228,589.027939,2485.000000,5460.000000,9520.000000,1011.000000,68.000000,32.000000
4,50,12,1,0,192,18763.000000,0.000000,2624.000000,17861.000000,0.000000,2556.000000,45003.000000,43421.000000,0.097718,8.550825,4.634362,14.724224,571.011294,2495.000000,5916.000000,10352.000000,68.000000,556.000000,2000.000000
4,50,12,2,0,192,19639.000000,0.000000,2615.000000,18213.000000,0.000000,2377.000000,45789.000000,41983.000000,0.061239,0.824762,0.607927,5.638397,592.006342,2531.000000,6260.000000,10848.000000,187.000000,396.000000,2032.000000
